epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
92,1906.56,0.53202,1.23868,0.67826,0.98234,0,0.81274,0.70282,0.78016,0.63453,0.83927,0.63407,0.73527,0.55709,1.01329,2.61236,1.35905,1.58248,0,0.00068291,0.00068291,0.00068291
93,1927.21,0.50962,1.25214,0.65011,0.98746,0,0.91502,0.70139,0.78181,0.63681,0.89563,0.69832,0.75653,0.57866,1.01272,2.58939,1.35704,1.5389,0,0.000681261,0.000681261,0.000681261
94,1947.8,0.51319,1.25113,0.65537,0.98297,0,0.79235,0.69753,0.70357,0.57386,0.77543,0.68542,0.67574,0.50088,0.99241,2.45561,1.27698,1.5034,0,0.000679611,0.000679611,0.000679611
95,1968.29,0.49997,1.20861,0.64309,0.98038,0,0.82195,0.7859,0.82247,0.65348,0.76701,0.74306,0.76179,0.56685,1.05215,2.55502,1.09443,1.57727,0,0.000677962,0.000677962,0.000677962
96,1988.99,0.50867,1.23551,0.65026,0.98261,0,0.7999,0.7511,0.81768,0.64656,0.7414,0.71769,0.75594,0.58206,1.05434,2.44044,1.09711,1.59013,0,0.000676313,0.000676313,0.000676313
97,2009.51,0.51366,1.24329,0.65606,0.982,0,0.88352,0.72814,0.80042,0.6169,0.84288,0.68586,0.74887,0.57137,1.07761,2.5687,1.18999,1.61708,0,0.000674663,0.000674663,0.000674663
98,2030.12,0.50024,1.1999,0.62793,0.9714,0,0.89853,0.71279,0.78568,0.60761,0.83515,0.69079,0.74298,0.55757,0.96189,2.29103,1.23487,1.47978,0,0.000673014,0.000673014,0.000673014
99,2050.96,0.51298,1.19601,0.64035,0.98704,0,0.7254,0.74907,0.78377,0.61056,0.71543,0.73657,0.76413,0.54184,1.0201,2.61062,1.16954,1.55367,0,0.000671365,0.000671365,0.000671365
100,2071.49,0.50378,1.2238,0.63338,0.97408,0,0.84056,0.56991,0.78252,0.63331,0.84056,0.56991,0.75772,0.56801,1.06099,2.52168,1.45778,1.60656,0,0.000669715,0.000669715,0.000669715
101,2091.99,0.51693,1.23141,0.64325,0.98022,0,0.78169,0.73923,0.76502,0.64927,0.76113,0.72545,0.73869,0.56888,1.0404,2.6039,1.39677,1.59161,0,0.000668066,0.000668066,0.000668066
102,2112.74,0.50584,1.19744,0.64408,0.97998,0,0.79686,0.69288,0.74479,0.62609,0.7707,0.66711,0.71377,0.57326,1.0151,2.52359,1.3376,1.54678,0,0.000666417,0.000666417,0.000666417
103,2133.16,0.49594,1.16054,0.61475,0.97203,0,0.84503,0.54885,0.67923,0.50761,0.78772,0.55997,0.65353,0.47583,1.05084,2.70161,1.24706,1.67432,0,0.000664767,0.000664767,0.000664767
104,2153.68,0.50128,1.19773,0.61213,0.97997,0,0.87726,0.69092,0.77378,0.60893,0.82584,0.6686,0.71824,0.55775,1.09262,2.23123,1.24253,1.64643,0,0.000663118,0.000663118,0.000663118
105,2174.41,0.49597,1.2363,0.6242,0.96304,0,0.7111,0.71696,0.76126,0.63504,0.69112,0.70357,0.73903,0.56467,1.03902,2.44135,1.38919,1.54646,0,0.000661469,0.000661469,0.000661469
106,2195.14,0.47883,1.15573,0.62381,0.9694,0,0.91273,0.60935,0.75775,0.59252,0.88027,0.59606,0.71353,0.55968,1.02521,2.41037,1.13728,1.57426,0,0.000659819,0.000659819,0.000659819
