epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,705.812,0.91613,2.18977,1.23596,1.2253,0,0.56208,0.72387,0.74876,0.52952,0.53763,0.70601,0.72744,0.52659,1.31366,2.67509,1.32252,1.75988,0,0.00087526,0.00087526,0.00087526
65,716.94,0.91631,2.19452,1.24619,1.23162,0,0.58563,0.68789,0.65429,0.46452,0.54415,0.67589,0.62116,0.46607,1.29911,2.77276,1.58168,1.83326,0,0.00087328,0.00087328,0.00087328
66,728.008,0.94186,2.33539,1.27407,1.24834,0,0.47267,0.69286,0.66655,0.51662,0.44594,0.66607,0.62572,0.49913,1.39546,2.76348,1.7674,1.87274,0,0.0008713,0.0008713,0.0008713
67,739.031,0.93413,2.29127,1.25794,1.23677,0,0.43111,0.72572,0.58497,0.4302,0.40424,0.69412,0.55747,0.42163,1.38215,2.68031,1.63888,1.80983,0,0.00086932,0.00086932,0.00086932
68,749.891,0.89315,2.19411,1.22448,1.21029,0,0.48274,0.75814,0.73843,0.57129,0.44221,0.70271,0.68258,0.54173,1.21885,2.67933,1.2678,1.68485,0,0.00086734,0.00086734,0.00086734
69,760.823,0.8956,2.20316,1.20527,1.20909,0,0.66615,0.51339,0.59894,0.43991,0.66615,0.51339,0.57387,0.42186,1.28057,2.68285,1.61924,1.72587,0,0.00086536,0.00086536,0.00086536
70,771.838,0.90521,2.20132,1.19781,1.21732,0,0.57962,0.61148,0.64957,0.47368,0.55451,0.60255,0.61074,0.46176,1.22931,2.47403,1.55918,1.68632,0,0.00086338,0.00086338,0.00086338
71,782.763,0.8741,2.12713,1.14725,1.19793,0,0.68535,0.52148,0.70002,0.49118,0.6221,0.49911,0.64264,0.48189,1.20757,2.52188,1.33482,1.66508,0,0.0008614,0.0008614,0.0008614
72,793.678,0.89541,2.2706,1.2194,1.21646,0,0.71478,0.49527,0.67939,0.50602,0.68478,0.48047,0.64356,0.50244,1.27623,2.96868,1.43982,1.71977,0,0.00085942,0.00085942,0.00085942
73,804.641,0.92144,2.23368,1.19119,1.2277,0,0.67676,0.43413,0.64918,0.43674,0.79113,0.38835,0.62645,0.42424,1.31633,2.75201,1.68042,1.73895,0,0.00085744,0.00085744,0.00085744
74,815.555,0.89027,2.20103,1.17785,1.20718,0,0.77329,0.48267,0.66114,0.4799,0.72225,0.46545,0.61637,0.45945,1.26389,2.81711,1.74727,1.76703,0,0.00085546,0.00085546,0.00085546
75,826.56,0.90238,2.26426,1.21421,1.22967,0,0.65885,0.53765,0.68797,0.49308,0.66067,0.51294,0.63992,0.49581,1.26969,2.81074,1.40367,1.74378,0,0.00085348,0.00085348,0.00085348
76,837.6,0.88603,2.16327,1.14716,1.19732,0,0.77516,0.52398,0.71351,0.53517,0.74298,0.50805,0.67558,0.51514,1.18962,2.78744,1.40192,1.61548,0,0.0008515,0.0008515,0.0008515
77,848.711,0.88061,2.125,1.14997,1.20029,0,0.69295,0.68667,0.74299,0.56975,0.6533,0.67054,0.69181,0.52693,1.1653,2.63927,1.23639,1.65048,0,0.00084952,0.00084952,0.00084952
78,859.718,0.86373,2.08959,1.11902,1.18871,0,0.54288,0.73954,0.74758,0.55514,0.5125,0.71275,0.70967,0.55345,1.26428,2.67553,1.40815,1.78356,0,0.00084754,0.00084754,0.00084754
79,870.593,0.89963,2.21268,1.20476,1.22467,0,0.41479,0.77589,0.71296,0.51325,0.72294,0.48816,0.66394,0.47164,1.21009,2.73706,1.40029,1.65928,0,0.00084556,0.00084556,0.00084556
80,881.44,0.85766,2.06131,1.09505,1.17682,0,0.69266,0.49964,0.70213,0.52318,0.75056,0.42589,0.65299,0.50067,1.212,2.73405,1.47566,1.68897,0,0.00084358,0.00084358,0.00084358
81,892.274,0.88614,2.17385,1.12518,1.20753,0,0.72191,0.71077,0.74987,0.56348,0.67261,0.69292,0.71003,0.54926,1.19818,2.73902,1.33778,1.6656,0,0.0008416,0.0008416,0.0008416
82,903.203,0.83357,2.06601,1.09775,1.17701,0,0.89771,0.47361,0.74414,0.52883,0.85387,0.46468,0.7049,0.52994,1.30362,2.69909,1.39238,1.77398,0,0.00083962,0.00083962,0.00083962
83,914.152,0.90054,2.23394,1.1589,1.21187,0,0.6406,0.54553,0.70106,0.52272,0.61309,0.51726,0.65371,0.4888,1.24326,2.69611,1.45167,1.69498,0,0.00083764,0.00083764,0.00083764
84,925.025,0.84896,2.10828,1.073,1.16878,0,0.362,0.73999,0.63924,0.46172,0.3449,0.72548,0.60336,0.4311,1.31149,2.81037,1.51039,1.80346,0,0.00083566,0.00083566,0.00083566
